Property ID,Usage,Admininstrated by,Name,Ward Number,Address,Unique ID
1000500100958,PARK,CORPORATION,CORPORATION PARK,50,RAJU NAIDU ROAD,1000501600010
1000500100982,COMMERCIAL,PRIVATE,CORPORATION BUILDING,50,RAJU NAIDU ROAD,1000501600011
1000500100982,RESIDENTIAL,CORPORATION,CORPORATION QUARTERS,50,TATABAD STREET 3,1000501600012
1000500101005,COMMERCIAL,PRIVATE,SPIRE LABS INDIA (P) LTD,50,TATABAD STREET 3,1000501600013
1000500100893,RESIDENTIAL,PRIVATE,KMK ORCHID APARTMENT,50,DR.RADHAKRISHNAN ROAD,1000501600014
1000500100033,INDUSTRIAL,PRIVATE,PREMA METAL PROCESS,50,DR.RADHAKRISHNAN ROAD,1000501600015
1000500100036,MARRIAGE HALL,PRIVATE,KARANATAKA ASSOCIATION KALYANA MANDAPAM,50,DR.RADHAKRISHNAN ROAD,1000501600016
1000500100940,INDUSTRIAL,PRIVATE,SHYAM DECORATING PRESS,50,ARIGNAR ANNA COLONY-SOUTH,1000501600017
1000500100721,OFFICE,STATE,EXECUTIVE ENGINEER ADMINISTRATIVE OFFICE,50,ARIGNAR ANNA COLONY-SOUTH,1000501600018
1000500100718,TEMPLE,TEMPLE,AATHI PARASAKTHI AMMAN TEMPLE,50,ARIGNAR ANNA COLONY-SOUTH,1000501600019
1000500100931,COMMERCIAL,PRIVATE,MAYAN ENVELOPES,50,DR.RADHAKRISHNAN ROAD,1000501600020
1000500100939,OTHERS,PRIVATE,KOVAI NADAR SANGA TRUST,50,DR.RADHAKRISHNAN ROAD,1000501600021
1000500100674,INDUSTRIAL,PRIVATE,RAJALAKSHMI INDUSTRIAL PVT LTD,50,DR.RADHAKRISHNAN ROAD,1000501600022
1000500100674,HOSPITAL,PRIVATE,SENGOTTAYAN HOSPITAL,50,DR.RADHAKRISHNAN ROAD,1000501600023
1000500100676,TEMPLE,TEMPLE,VALAMPURI VINAYAGAR TEMPLE,50,ARIGNAR ANNA COLONY-SOUTH,1000501600024
1000500100937,INDUSTRIAL,PRIVATE,AMICO ENTERPRISES,50,DR.RADHAKRISHNAN ROAD,1000501600025
1000500100910,COMMERCIAL + RESIDENTIAL,PRIVATE,HI TECH ARITIFICAL LIMBS,50,DR.SIVANANDA NAGAR,1000501600026
1000500100915,COMMERCIAL,PRIVATE,RASHI PERIPHRALS PVT LTD,50,DR.SIVANANDA NAGAR,1000501600027
1000500100115,HOSPITAL,PRIVATE,SENGOTTAYAN HOSPITAL,50,TATABAD STREET 2,1000501600028
1000500100867,HOSPITAL,PRIVATE,SHEELA CLINIC,50,TATABAD STREET 1,1000501600029
1000500100828,OTHERS,PRIVATE,LIONS CLUB OF CBE TRUST,50,A.N.P SOCIETY COLONY,1000501600030
1000500100821,OTHERS,PRIVATE,CBE SAMYUTHA GOUNDER SARASWATHY,50,A.N.P SOCIETY COLONY,1000501600031
1000500100459,TEMPLE,TEMPLE,MARIAMMAN TEMPLE,50,MASTHIAMMAL LAYOUT,1000501600032
1000500100412,TEMPLE,TEMPLE,MADURAI VEERAN TEMPLE,50,ANNA NAGAR,1000501600033
1000500100412,PUBLIC,CORPORATION,CBE CORPORATION TOILET,50,ANNA NAGAR,1000501600034
1000500100422,TEMPLE,TEMPLE,VINAYAGAR TEMPLE,50,ANNA NAGAR,1000501600035
1000500100457,TEMPLE,TEMPLE,OM SAKTHI TEMPLE,50,ANNA NAGAR,1000501600036
1000500100371,TEMPLE,TEMPLE,MUTHUMARIAMMAN TEMPLE,50,MASTHIAMMAL LAYOUT,1000501600037
1000500100578,COMMERCIAL,PRIVATE,ADHAVAN HEALTH SOLUTIONS,50,DR.SIVANANDA NAGAR,1000501600038
1000500100538,TEMPLE,TEMPLE,KARPAGA VINAYAGAR KOVIL,50,DR.SIVANANDA NAGAR,1000501600039
1000500100096,HOSPITAL,PRIVATE,METRO HEART CENTRE,50,DR.SIVANANDA NAGAR,1000501600040
1000500100098,HOSPITAL,PRIVATE,M R HOSPITAL,50,DR.SIVANANDA NAGAR,1000501600041
1000500100596,INDUSTRIAL,PRIVATE,AARTHI AUTOMOBILES,50,A.N.P SOCIETY COLONY,1000501600042
1000500100238,TEMPLE,TEMPLE,MARIAMMAN KOVIL,50,HOSIMEINNA NAGAR,1000501600043
1000500100553,TEMPLE,TEMPLE,MARIAMMAN KOVIL,50,KANDHASAMY LAYOUT,1000501600044
1000500100145,EDUCATIONAL,PRIVATE,BLITZKERG INSTITUTION,50,KANDHASAMY LAYOUT,1000501600045
1000500100349,TEMPLE,TEMPLE,VINAYAGAR TEMPLE,50,ANNA PUTHU STREET,1000501600046
1000500100330,PUBLIC,CORPORATION,PUBLIC TOILET,50,ANNA PUTHU STREET,1000501600047
1000500100128,TEMPLE,TEMPLE,VINAYAGAR TEMPLE,50,KANNUSAMY LAYOUT,1000501600048
1000500100175,INDUSTRIAL,PRIVATE,NATIONAL AUTO GARAGE,50,KANDHASAMY LAYOUT,1000501600049
1000500100180,INDUSTRIAL,PRIVATE,M S AUTO GARAGE,50,KANDHASAMY LAYOUT,1000501600050
1000500100180,INDUSTRIAL,PRIVATE,PRABHA AUTO MOBILES,50,KANDHASAMY LAYOUT,1000501600051
1000500100019,TEMPLE,TEMPLE,KARUPPUSAMY TEMPLE,50,HOSIMEINNA NAGAR,1000501600052
1000500100282,TEMPLE,TEMPLE,MATHRASA,50,HOSIMEINNA NAGAR,1000501600053
1000500100156,COMMERCIAL,PRIVATE,SINDHU BAKERY,50,HOSIMEINNA NAGAR,1000501600054
